,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
193,Bad birthday,0.0,['Strong Cube'],['Adventure',0 - 20000,267,0,2016,1,0.45161290322580644
205,Valhalla Hills,0.69,['Daedalic Entertainment'],['Indie',200000 - 500000,211,3,2015,3,0.5428571428571428
206,Geo,8.99,['Windybeard'],['Adventure',20000 - 50000,341,1,2017,1,0.8625
208,Monster Energy Supercross - The Official Videogame 3,29.99,['Milestone S.r.l.'],['Racing',20000 - 50000,411,17,2020,1,0.8771929824561403
211,IN-VERT: Definitive Edition,4.99,['TERNOX'],['Action',20000 - 50000,291,0,2018,2,0.8026315789473685
212,Hare,0.99,['zelun'],['Action',0 - 20000,9,0,2017,1,0.9166666666666666
215,Airport Firefighters - The Simulation,17.99,['rondomedia GmbH'],['Simulation'],0 - 20000,292,1,2015,1,0.46766169154228854
225,The Great Jitters: Pudding Panic,4.99,['kunst-stoff GmbH'],['Action',20000 - 50000,126,0,2014,2,0.6486486486486487
227,Draw Slasher,1.99,['Mass Creation'],['Action',50000 - 100000,883,3,2016,3,0.5098554533508541
228,Toilet Tycoon,4.99,"['Anvil-Soft', 'Plug In Digital']",['Indie',0 - 20000,677,2,2015,1,0.6845637583892618
229,One Night Stand,2.99,['Kinmoku'],['Adventure',50000 - 100000,257,0,2016,3,0.8907014681892332
234,Jack Lumber,4.99,['Owlchemy Labs'],['Action',100000 - 200000,121,0,2013,3,0.6373937677053825
236,Clazer,29.99,"['SynapticSwitch, LLC', 'LeadTech, LLC']",['Simulation',0 - 20000,7,0,2016,1,0.7419354838709677
239,Shining Resonance Refrain,29.99,['SEGA'],['Adventure',20000 - 50000,305,16,2018,1,0.7090239410681399
240,古剑奇谭二(GuJian2),15.99,['北京网元圣唐娱乐科技有限公司'],['RPG'],200000 - 500000,205,49,2017,1,0.7767241379310345
241,Little Walker,3.99,['Blake Fix'],['Action',0 - 20000,91,0,2016,1,0.9444444444444444
246,Realpolitiks,14.99,['Fulqrum Publishing'],['Strategy'],50000 - 100000,660,15,2017,3,0.6241860465116279
247,Powargrid,9.99,['Wee Free Studio'],['Indie',0 - 20000,276,0,2016,3,0.84375
249,Xpand Rally,4.99,['Techland'],['Racing'],20000 - 50000,138,2,2006,1,0.8005464480874317
257,Ticket to Ride,9.99,"['Days of Wonder', 'Asmodee Digital']",['Casual',500000 - 1000000,140,395,2012,2,0.9039211190094015
262,Sally's Salon: Kiss & Make-Up,12.99,['GameHouse'],['Adventure',0 - 20000,428,3,2018,2,0.7096774193548387
266,while True: learn(),12.99,['Luden.io'],['Indie',500000 - 1000000,283,17,2019,3,0.920073726541555
270,Pinball Inside: A VR Arcade Game,0.0,['Reality Reflection'],['Casual',0 - 20000,7,0,2017,1,0.7704918032786885
271,Jelly Killer,3.99,['Immortal Game Studio'],['Action',20000 - 50000,70,0,2016,3,0.7847682119205298
295,Boson X,2.99,['Ian MacLarty'],['Action',200000 - 500000,446,5,2014,3,0.9289902280130293
310,Geneforge 5: Overthrow,19.99,['Spiderweb Software'],['Strategy',50000 - 100000,547,1,2008,1,0.9313725490196079
311,Mary Skelter: Nightmares,24.99,['Ghostlight LTD'],['Sexual Content',20000 - 50000,400,11,2018,1,0.8863157894736842
313,1000 Amps,4.99,['Brandon Brizzi'],['Adventure',100000 - 200000,9,0,2012,2,0.778816199376947
318,Fowl Space,4.99,['Pixelante Game Studios'],['Action',20000 - 50000,12,0,2012,1,0.5888888888888889
327,Balloon Blowout,0.99,['EnsenaSoft'],['Action',50000 - 100000,148,0,2016,1,0.4418604651162791
333,Amoreon NightClub,0.0,['Citor3'],['Free to Play',20000 - 50000,2,0,2017,1,0.765625
335,What The Dub?!,7.99,['Wide Right Interactive'],['Casual',0 - 20000,50,3,2021,2,0.9318181818181818
341,Q.U.B.E: Director's Cut,2.49,['Toxic Games'],['Action',500000 - 1000000,319,4,2014,3,0.8345908299477656
342,Travis Strikes Again: No More Heroes Complete Edition,39.99,['Marvelous Inc.'],['Action'],0 - 20000,180,1,2019,1,0.873900293255132
343,Ossuary,9.99,['Future Proof Games'],['Adventure',0 - 20000,7,0,2015,1,0.9166666666666666
345,Borderless Gaming,3.99,[''],['Utilities'],200000 - 500000,9735,570,2015,1,0.8798712906685735
349,Investigator,4.99,['AdroVGames'],['Adventure',50000 - 100000,171,1,2016,1,0.7024704618689581
351,Fish Tycoon,9.99,['Last Day of Work'],['Casual',0 - 20000,1815,7,2008,1,0.8285714285714286
354,Expeditions: Conquistador,19.99,['THQ Nordic'],['Indie',100000 - 200000,329,7,2013,3,0.8010393466963622
356,Frog Climbers,6.99,['Dear Villagers'],['Indie'],20000 - 50000,103,0,2016,1,0.8238993710691824
358,Elems,0.99,['Fifth Dimension Company'],['Casual',200000 - 500000,316,0,2016,1,0.6111111111111112
362,RePete,1.99,['Luke Godfrey'],['Casual',0 - 20000,247,0,2016,3,0.8378378378378378
372,Queen's Glory,9.99,['PlayMeow Games'],['Casual',0 - 20000,137,3,2020,2,
374,Understand,3.99,['Artless Games'],['Casual',20000 - 50000,42,13,2020,2,0.9295454545454546
378,Masquerade: The Baubles of Doom,14.99,['Big Ant Studios'],['Action',0 - 20000,387,0,2016,1,0.2631578947368421
380,Nevermind,19.99,['Flying Mollusk'],['Adventure',50000 - 100000,139,2,2015,2,0.7742718446601942
384,Carnivores: Dinosaur Hunter Reborn,14.99,['Digital Dreams Entertainment LLC'],['Indie',50000 - 100000,208,4,2015,1,0.7327365728900256
385,"Calm Down, Stalin",3.99,['Cartboard Games'],['Casual',20000 - 50000,64,1,2016,1,0.8952380952380953
386,Kandidatos,0.99,['Shaikonina Games'],['Action',200000 - 500000,32,17,2020,1,0.9108875314408911
388,Empathy: Path of Whispers,19.99,['Iceberg Interactive'],['Adventure',0 - 20000,32,1,2017,1,0.6145251396648045
393,MURI,4.99,['Ludosity'],['Action'],20000 - 50000,94,0,2013,1,0.9085106382978724
401,BC Kings,4.99,['Strategy First'],['Strategy'],20000 - 50000,19,1,2009,1,0.601063829787234
402,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,19.99,['D3PUBLISHER'],['Action'],1000000 - 2000000,448,84,2016,1,0.9467463479415671
407,HIT,0.0,['Shifty Chair Games'],['Free to Play'],200000 - 500000,8,0,2015,1,0.3778705636743215
411,The Herbalist,5.99,['Moonworks'],['Casual',20000 - 50000,242,2,2016,3,0.9410774410774411
412,The Story Goes On,4.99,['Scarecrow Arts'],['Action',0 - 20000,137,0,2018,3,0.8429752066115702
416,Rogue Stormers,19.99,"['HandyGames', 'Black Forest Games']",['Action',200000 - 500000,223,2,2016,2,0.6883525708289612
423,A Normal Lost Phone,2.99,['PID Games'],['Casual',50000 - 100000,378,2,2017,3,0.888728323699422
424,Big Rumble Boxing: Creed Champions,39.99,['Survios'],['Action',0 - 20000,63,8,2021,1,0.6265060240963856
426,Russian Fishing 4,0.0,"['FishSoft, LLC']",['Adventure',2000000 - 5000000,75,5848,2021,1,0.7708839097385283
436,Peekaboo,1.49,['Redaster Studio'],['Action',100000 - 200000,99,10,2019,1,0.7939873417721519
437,Echo Tokyo: An Intro,4.99,['Dharker Studios Ltd'],['Adventure',0 - 20000,16,0,2016,1,0.6225165562913907
439,Gothic 3: Forsaken Gods Enhanced Edition,9.99,['THQ Nordic'],['RPG'],200000 - 500000,93,9,2011,1,0.5080385852090032
441,Space Pilgrim Episode III: Delta Pavonis,1.13,['GrabTheGames'],['Adventure',200000 - 500000,251,3,2016,1,0.8584070796460177
450,Start10,4.99,['Stardock'],['Utilities'],0 - 20000,1,0,2017,1,0.59375
454,Fruity Smoothie,0.0,['Wooden Shoes Games'],['Casual',20000 - 50000,37,1,2017,3,0.8793969849246231
467,Helheim Hassle,19.99,['Yogscast Games'],['Adventure',0 - 20000,652,2,2020,3,0.9444444444444444
470,Phoenix Point,24.99,['Snapshot Games Inc.'],['RPG',200000 - 500000,507,542,2020,2,0.7221052631578947
472,Introvert Quest,0.5,['Amaterasu Software'],['Adventure',100000 - 200000,241,0,2017,1,0.7254901960784313
473,Lumini,12.99,['2Awesome Studio'],['Adventure',0 - 20000,103,0,2015,3,0.8648648648648649
475,Mafia: Definitive Edition,39.99,['2K'],['Action',1000000 - 2000000,566,1665,2020,1,0.8675746823852581
479,XWallpaper,2.79,['XDesktop'],['Animation & Modeling',50000 - 100000,557,8,2019,1,0.5034965034965035
481,No Time To Explain Remastered,14.99,['tinyBuild'],['Action',200000 - 500000,112,2,2015,3,0.7887563884156729
486,Idol Manager,19.99,['PLAYISM'],['Indie',100000 - 200000,853,102,2021,3,0.891726618705036
490,Freeways,3.99,['Captain Games'],['Indie',50000 - 100000,613,57,2018,2,0.8442460317460317
498,Syrian Warfare,13.99,['Cats Who Play'],['Indie',200000 - 500000,235,45,2017,1,0.8638917262512769
499,Relik,0.0,['Iron 27'],['Free to Play',20000 - 50000,48,0,2017,2,0.8224852071005917
502,ViRo Playspace,0.0,['Virtual Romance LLC'],['Casual',0 - 20000,9,4,2019,1,
504,Mech Armada,19.99,['Lioncode Games'],['Indie',20000 - 50000,358,12,2022,1,0.8516129032258064
505,Vision Runner,9.99,['Snowbit Interactive'],['Indie',0 - 20000,1,0,2016,1,0.4
513,Shadowgate,14.99,['Zojoi'],['Adventure',50000 - 100000,140,3,2014,2,0.8676236044657097
515,Bunker Constructor,4.99,[''],['Casual',0 - 20000,1,0,2016,1,0.6190476190476191
516,WORLD END ECONOMiCA episode.01,12.99,['Sekai Project'],['Indie'],50000 - 100000,232,1,2014,3,0.8481203007518797
521,Mini Motorways,9.99,['Dinosaur Polo Club'],['Casual',200000 - 500000,373,473,2021,2,0.9599795515957058
528,Illwinter's Floorplan Generator,6.99,['Illwinter Game Design'],['RPG',50000 - 100000,3145,10,2018,3,0.9296482412060302
532,RAILROADS Online!,34.99,['Stefan Kelnberger'],['Indie',100000 - 200000,2026,110,2021,1,0.8474503025064822
534,Farmington County: The Ultimate Farming Tycoon Simulator,14.99,"['Grenoble Interactive, LLC']",['Indie',0 - 20000,976,1,2019,2,0.83
541,Voxel Turf,7.99,['L Twigger'],['Action',50000 - 100000,380,1,2017,2,0.8711656441717791
547,College Kings - Act I,0.0,['Undergrad Steve'],['Adventure',0 - 20000,270,346,2021,3,
552,Xploquest 2,0.0,['33 Production'],['Adventure',0 - 20000,2,0,2018,3,0.9090909090909091
553,Steampunk Tower 2,7.99,['DreamGate'],['Action',50000 - 100000,207,0,2018,2,0.7785016286644951
557,Intergalactic Bubbles,1.99,['Hellscape Games'],['Casual',200000 - 500000,212,2,2015,3,0.7984496124031008
558,Ymir,34.99,['Thibaud Michaud'],['Indie',50000 - 100000,1917,51,2019,1,0.7452631578947368
563,Woodlands,5.99,['Acuze Interactives'],['Action',20000 - 50000,17,1,2017,1,0.3076923076923077
573,Disney Universe,19.99,['Disney'],['Action',20000 - 50000,301,2,2014,1,0.8312236286919831
574,Legion Tale,4.99,['Maulidan Games'],['Indie',50000 - 100000,343,0,2017,1,0.7692307692307693
585,The Stalin Subway: Red Veil,2.99,['Buka Entertainment'],['Action'],50000 - 100000,154,0,2014,1,0.4749498997995992
586,Suits: A Business RPG,0.99,['Technomancy Studios'],['Action',100000 - 200000,334,9,2016,3,0.87995337995338
591,MineSweeper VR,1.99,['Funny Twins'],['Action',0 - 20000,5,0,2016,1,0.7948717948717948
593,Room to Grow,9.99,['Mischka Kamener'],['Casual',0 - 20000,91,1,2021,2,0.9669421487603306
599,Tank Battle: North Africa,9.99,['HexWar Games'],['Strategy'],20000 - 50000,317,1,2016,2,0.7333333333333333
608,X-Plane 10 Global - 64 Bit,0.0,['Aerosoft GmbH'],['Simulation'],100000 - 200000,16,1,2014,3,0.7010816125860374
613,TYRONE vs COPS,0.99,['Team SNEED'],['Action',20000 - 50000,97,4,2022,2,0.9543859649122807
619,Electronic Super Joy 2,0.0,['2&30 Software'],['Indie'],50000 - 100000,274,2,2019,3,0.8813813813813813
623,Expect The Unexpected,1.49,['GoldenGod Games'],['Casual',0 - 20000,31,1,2016,3,0.6625
634,Game Corp DX,2.99,['Endless Loop Studios'],['Indie',200000 - 500000,293,3,2015,3,0.8771871904919115
637,Freedom Locomotion VR,0.0,['Huge Robot'],['Casual',50000 - 100000,12,0,2017,1,0.8792270531400966
638,Rakuen,9.99,['Laura Shigihara'],['Adventure',100000 - 200000,385,8,2017,3,0.9670459003530797
639,Kinetic Void,19.99,['Badland Studio'],['Action',100000 - 200000,96,0,2014,3,0.1807465618860511
645,Way to Go!,4.99,['Makivision Games'],['Indie'],0 - 20000,61,0,2015,2,0.8888888888888888
650,My Little Blacksmith Shop,9.99,['Noble Games Studio'],['Casual',20000 - 50000,13,15,2019,1,0.7899860917941586
659,Super Meat Boy,14.99,[''],['Indie'],2000000 - 5000000,139,77,2010,3,0.9485515643105447
660,Awe,0.99,['BadLand Publishing'],['Casual',20000 - 50000,191,0,2015,2,0.7520325203252033
663,Idle Champions of the Forgotten Realms,0.0,['Codename Entertainment Inc.'],['Action',1000000 - 2000000,80,6247,2020,2,0.8041178152702316
668,The Kings' Crusade,9.99,['Paradox Interactive'],['Strategy'],50000 - 100000,76,0,2010,1,0.3904109589041096
674,Heileen 3: New Horizons,24.99,['Winter Wolves'],['Adventure',0 - 20000,289,1,2014,3,0.6338028169014085
689,MagiCats Builder (Crazy Dreamz),0.0,['Dreamz Studio'],['Adventure',50000 - 100000,4,0,2018,2,0.6307692307692307
693,Kombine,0.51,['Robert Alvarez'],['Casual',20000 - 50000,416,51,2016,2,0.7884615384615384
694,The Advisor - Episode 1: Royal Pain,2.99,['Randumb Studios'],['Adventure',100000 - 200000,12,0,2021,1,0.9863636363636363
704,The Night Cafe: A VR Tribute to Vincent Van Gogh,0.0,['Borrowed Light Studios'],['Casual',20000 - 50000,7,0,2016,1,0.9601593625498008
708,Party Tycoon,4.99,['tinyBuild'],['Indie',20000 - 50000,261,0,2017,1,0.5358361774744027
713,Clicker bAdventure,2.99,['Luminark'],['Action',0 - 20000,8,0,2017,1,0.27380952380952384
716,Edna & Harvey: The Breakout - Anniversary Edition,3.99,['Daedalic Entertainment'],['Adventure',20000 - 50000,501,6,2019,3,0.93048128342246
717,Coffee Run,0.0,['Andrew Rodenhiser'],['Action',0 - 20000,2,0,2017,1,0.7657657657657657
721,Desktop Dungeons,14.99,['QCF Design'],['Adventure',100000 - 200000,231,12,2013,3,0.9037199124726477
722,Timerunner,6.39,['G-DEVS.com'],['Action',100000 - 200000,19,0,2021,1,0.8648648648648649
732,Forest Below,0.0,['Team Arborium'],['Casual'],0 - 20000,8,0,2018,1,0.9
735,Astro Tripper,4.99,['Pom Pom Games'],['Action',20000 - 50000,69,0,2011,1,0.5409836065573771
736,Apex Legends™,0.0,['Electronic Arts'],['Action',20000000 - 50000000,904,235067,2020,1,0.8618469630723536
739,Aura of Worlds,11.99,['Cognitive Forge'],['Action',0 - 20000,17,1,2018,3,0.9506172839506173
742,Mosaique Neko Waifus 2,1.99,['Lil Hentai Games'],['Casual',100000 - 200000,147,8,2020,2,0.9563409563409564
744,Magic Nations - Card Game,14.99,['Prime Bit Games SA'],['Casual',0 - 20000,2624,0,2018,2,0.717741935483871
747,Wasteland 2: Director's Cut,29.99,['inXile Entertainment'],['Adventure',500000 - 1000000,522,96,2014,3,
766,DCS World Steam Edition,0.0,[''],['Free to Play',2000000 - 5000000,38,1424,2013,1,0.8512673362027738
768,Royal Defense,0.49,['8Floor'],['Casual',100000 - 200000,310,111,2014,2,0.7445482866043613
770,Hexodius,9.99,['BANDAI NAMCO Entertainment'],['Action',0 - 20000,75,0,2013,1,0.6190476190476191
775,Shadowrun: Hong Kong - Extended Edition,19.99,['Paradox Interactive'],['Adventure',500000 - 1000000,516,76,2015,3,0.8642512077294686
777,Tidalis,4.99,"['Arcen Games, LLC']",['Casual',100000 - 200000,248,0,2010,3,0.6547085201793722
