,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
14520,Contractors,19.99,['Caveman Studio'],['Action',200000 - 500000,122,64,2018,1,0.8308519437551696
14522,Hellblade: Senua's Sacrifice,29.99,['Ninja Theory'],['Action',1000000 - 2000000,223,102,2017,1,0.9137632671896632
14534,Monster Bash HD,9.99,['Apogee Entertainment'],['Action',0 - 20000,226,3,2021,2,1.0
14539,Inside My Radio,14.99,['Iceberg Interactive'],['Action',50000 - 100000,357,0,2015,1,0.8822222222222222
14551,RiME,29.99,"['Grey Box', 'Six Foot']",['Adventure'],200000 - 500000,172,13,2017,1,0.9018771331058021
14560,S.A.I.A.'s Awakening: A Robothorium Visual Novel,0.0,['Whisper Games'],['Free to Play',0 - 20000,34,0,2019,3,0.625
14563,Manga Maker Comipo,49.99,['Degica'],['Animation & Modeling',20000 - 50000,2496,15,2014,1,0.7659574468085106
14567,Merper VR,0.0,['Federico Schliemann'],['Casual',20000 - 50000,6,0,2017,1,0.8888888888888888
14579,Shipwreck,2.99,['Brushfire Games'],['Adventure',0 - 20000,1537,0,2015,2,0.8086124401913876
14580,Kingdom Rush Frontiers - Tower Defense,9.99,['Ironhide Game Studio'],['Strategy'],200000 - 500000,1361,222,2016,3,0.9663920922570016
14587,Auditorium,6.99,['Cipher Prime Studios'],['Indie',50000 - 100000,8,0,2012,2,0.8218181818181818
14593,Twinsen's Little Big Adventure 2 Classic,9.99,['[2.21]'],['Action',50000 - 100000,1,2,2015,1,0.9765886287625418
14605,Helldorado,9.99,"['Black Forest Games', 'THQ Nordic']",['Strategy'],50000 - 100000,49,3,2009,1,0.7153846153846154
14611,Ikenfell,19.99,['Humble Games'],['Indie',20000 - 50000,13,10,2020,2,0.9098557692307693
14613,X-Morph: Defense,19.99,['EXOR Studios'],['Action',200000 - 500000,294,64,2017,1,0.9172585227272727
14622,Sparkle ZERO,4.99,['Forever Entertainment S. A.'],['Action',20000 - 50000,385,0,2016,3,0.51875
14627,MorphVOX Pro 4 - Voice Changer (Old),39.99,['Screaming Bee'],['Audio Production',0 - 20000,5225,91,2014,1,0.5606837606837607
14629,Putt-Putt® Saves The Zoo,6.99,"['Humongous Entertainment', 'Nightdive Studios']",['Adventure',20000 - 50000,40,20,2014,3,0.9623931623931624
14630,Sentinels of the Multiverse,9.99,['Handelabra Games Inc.'],['Indie',100000 - 200000,503,52,2014,3,0.8953651685393258
14631,Goblins of Elderstone,19.99,['Outerdawn'],['Indie',0 - 20000,199,1,2018,1,0.7421052631578947
14635,DEEMO -Reborn-,24.99,['Rayark International Limited'],['Action',200000 - 500000,259,21,2020,1,0.8752178459393517
14645,Cute Honey 2,1.99,['Lovely Games'],['Casual'],100000 - 200000,149,2,2020,1,0.7668128654970761
14646,Project RPG Remastered,0.99,['Displacement Studios'],['Violent',50000 - 100000,228,0,2017,1,0.4222222222222222
14648,Interplanetary: Enhanced Edition,2.24,['Team17 Digital Ltd'],['Indie',100000 - 200000,233,16,2017,3,0.8463768115942029
14650,Starlaxis Supernova Edition,8.99,['Spiderwork Games'],['Action',0 - 20000,276,1,2015,1,0.6037735849056604
14652,Worlds of Magic,2.49,['Wastelands Interactive'],['RPG',20000 - 50000,292,5,2015,3,0.4637096774193548
14657,SPACE BATTLE: Humanity,1.99,['Crabby Team'],['Casual',0 - 20000,315,0,2017,1,0.42105263157894735
14661,EPOCH,1.99,['Uppercut Games Pty Ltd'],['Action',0 - 20000,228,0,2014,1,0.7888888888888889
14668,Dungeon Siege II,6.99,['Square Enix'],['RPG'],500000 - 1000000,543,40,2005,1,0.7305825242718447
14671,The Final Take,1.99,['Forever Entertainment S. A.'],['Adventure',50000 - 100000,229,7,2016,3,0.5391304347826087
14673,The Waste Land,9.99,['Digital Tribe'],['Action',0 - 20000,405,0,2014,1,0.5106382978723404
14674,Fishing: Barents Sea,24.99,['Misc Games'],['Simulation'],200000 - 500000,1082,49,2018,1,0.7845454545454545
14677,War of Beach,0.0,['LUCKY GIRLS LIMITED'],['Action',100000 - 200000,887,0,2015,2,0.5428015564202334
14678,Time For You - Chapter 01,0.0,['Zero2HeroGames'],['Adventure',0 - 20000,70,8,2020,3,
14691,Mondly: Learn Languages in VR,9.99,['ATi Studios A.P.P.S. SRL'],['Casual',0 - 20000,97,0,2019,1,0.5227272727272727
14694,Paintball War,0.0,['ShadowWolf Games'],['Action',200000 - 500000,15,2,2018,1,0.429801894918174
14701,亦春秋 Power Of Seasons,12.99,['Phoenix Games'],['Action',0 - 20000,51,1,2020,1,0.6630076838638859
14703,Paw Paw Paw,4.99,['GrabTheGames'],['Action',20000 - 50000,158,1,2020,2,0.5475285171102662
14711,Valthirian Arc: Hero School Story,14.99,['PQube'],['Action',20000 - 50000,140,1,2018,1,0.607773851590106
14719,Danganronpa: Trigger Happy Havoc,19.99,"['Spike Chunsoft Co., Ltd.']",['Adventure'],500000 - 1000000,1068,291,2016,3,0.9640300034094783
14736,Militia,5.99,['BrainGoodGames'],['Strategy'],20000 - 50000,276,0,2015,3,0.9624060150375939
14740,Immortal Soul: Black Survival,0.0,"['Nimble Neuron', 'Boltrend Global PTE.LTD']",['Free to Play',500000 - 1000000,236,258,2019,1,0.792994966442953
14741,Apokalypsis,1.99,['Quantum Entanglement Games'],['Action'],20000 - 50000,261,0,2016,1,0.4166666666666667
14748,Raiden IV: OverKill,14.99,"['H2 Interactive Co., Ltd.']",['Action'],50000 - 100000,246,6,2015,1,0.8426763110307414
14750,Space Rogue,9.99,['Red Beat'],['Indie',50000 - 100000,770,1,2016,2,0.6478555304740407
14753,Lord of the Dark Castle,0.49,['Trinity Project'],['Action',200000 - 500000,149,0,2015,3,0.6779661016949152
14754,Deep Space Dash,1.99,['Back To Basics Gaming'],['Action',200000 - 500000,223,2,2016,1,0.29357798165137616
14755,Gang Beasts,8.99,['Boneloaf'],['Action',1000000 - 2000000,160,835,2017,3,0.8073140900195694
14757,Guncraft,14.99,['Reverb Triple XP'],['Action',100000 - 200000,104,0,2013,1,0.4835164835164835
14759,Halo: The Master Chief Collection,39.99,['Xbox Game Studios'],['Action'],5000000 - 10000000,778,4292,2019,1,0.9276835863005826
14760,Mahjong World Contest (麻将),0.49,['8Floor'],['Casual',200000 - 500000,293,2,2016,1,0.8881987577639752
14765,Game-Ready Assets,0.0,['Nova Dimension'],['Animation & Modeling',0 - 20000,10,0,2017,1,0.5833333333333334
14769,Rez Infinite,24.99,['Enhance'],['Action',20000 - 50000,18,3,2017,1,0.9237379162191193
14770,Fantasy Farming: Orange Season,16.99,['SOEDESCO'],['Adventure',0 - 20000,70,4,2017,2,0.896797153024911
14773,Fishing Planet,0.0,['Fishing Planet LLC'],['Free to Play',2000000 - 5000000,54,3133,2017,3,0.8441190233697597
14777,LIBERATED,19.99,['Walkabout'],['Action',200000 - 500000,271,1,2020,1,0.7753623188405797
14788,Lost Lands: The Four Horsemen,6.99,['FIVE-BN GAMES'],['Adventure',20000 - 50000,355,4,2015,2,0.9402390438247012
14791,Caravan,0.65,['Daedalic Entertainment'],['Adventure',100000 - 200000,241,5,2016,3,0.7845968712394705
14795,Tyler,2.99,['IndieGala'],['Action',0 - 20000,235,3,2016,1,0.5666666666666667
14804,Atelier Rorona ~The Alchemist of Arland~ DX,39.99,"['KOEI TECMO GAMES CO., LTD.']",['RPG'],20000 - 50000,1847,18,2018,1,0.9279475982532751
14807,Total War™: ROME II - Emperor Edition,59.99,['SEGA'],['Strategy'],2000000 - 5000000,1817,6462,2013,1,0.8099604678648572
14811,Unfortunate Spacemen,0.0,"['Deep Field Games', 'New Blood Interactive']",['Action',200000 - 500000,50,51,2020,1,0.8719803269202951
14813,FIGHT KNIGHT,19.99,['Team Sorcerobe'],['Action',20000 - 50000,788,6,2021,1,0.9437869822485208
14817,Secret Neighbor Beta,0.0,['tinyBuild'],['Action',200000 - 500000,131,1,2019,1,0.834478021978022
14818,Blocks That Matter,4.99,[''],['Casual',200000 - 500000,286,1,2011,2,0.7717678100263852
14820,Brick Rigs,14.99,['Lukas Rustemeyer'],['Simulation',500000 - 1000000,1211,1107,2016,1,0.9270247102232493
14823,Paper Beast,19.99,"['Pixel Reef', 'PID Games']",['Adventure',0 - 20000,57,3,2020,1,0.9651416122004357
14828,Diesel Brothers: Truck Building Simulator,2.99,"['Code Horizon', 'PlayWay S.A.']",['Simulation'],50000 - 100000,268,9,2019,1,0.6442953020134228
14832,Dead Frontier 2,0.0,['Creaky Corpse Ltd'],['Action',2000000 - 5000000,46,865,2019,1,0.7112833507229095
14841,TRADER LIFE SIMULATOR,19.99,['DNA ARMY GAMING'],['Indie',50000 - 100000,502,70,2021,1,0.7848314606741573
14856,六阶谜题 six-step mystery,6.99,['章鱼罐头制作组'],['Adventure',0 - 20000,53,5,2020,1,0.8888888888888888
14859,Havocado: Ragdoll Fighter,19.99,['Webble Games'],['Action',50000 - 100000,443,7,2019,2,0.8395061728395061
14863,MILFs of Sunville,9.99,['L7team'],['Indie',0 - 20000,190,162,2021,2,
14866,RIDE 4,49.99,['Milestone S.r.l.'],['Racing',200000 - 500000,930,407,2020,1,0.7878688524590164
14868,The Infected,13.99,['DigX Studios'],['Action',100000 - 200000,654,251,2020,1,0.8790560471976401
14874,Star Crusade CCG,0.0,"['ZiMAD, Inc.']",['Casual',100000 - 200000,59,0,2016,1,0.80863539445629
14875,Tales from the Void,9.99,['Black Dog'],['Action',20000 - 50000,233,0,2016,2,0.7083333333333334
14877,The Dark Eye: Memoria,1.99,['Daedalic Entertainment'],['Adventure',200000 - 500000,316,12,2013,2,0.895500725689405
14880,Strike Suit Zero: Director's Cut,19.99,['Born Ready Games'],['Action',100000 - 200000,338,1,2014,1,0.8109756097560976
14882,Legends of Eisenwald,19.99,['Aterdux Entertainment'],['Adventure',50000 - 100000,296,15,2015,1,0.7652068126520681
14892,Tactical Soccer The New Season,9.99,['KISS ltd'],['Indie',0 - 20000,350,0,2015,2,0.38461538461538464
14905,Masky,0.99,['Forever Entertainment S. A.'],['Action',50000 - 100000,141,7,2016,3,0.7971014492753623
14906,The Sojourn,24.99,['Iceberg Interactive'],['Adventure',0 - 20000,294,4,2020,1,0.7720588235294118
14908,Big Fish Legend,0.0,['Igry.ru'],['Adventure',0 - 20000,372,0,2015,1,0.8145161290322581
14909,DYE,4.99,"['Bat Country Games, LLC']",['Action',0 - 20000,223,0,2017,3,0.7532467532467533
14915,Market Tycoon,9.99,['Protection Games'],['Casual',0 - 20000,14,1,2017,1,0.5705128205128205
14925,Red Faction®: Armageddon™,19.99,['Deep Silver'],['Action'],1000000 - 2000000,137,18,2011,1,0.7260022909507445
14927,东方幻灵录 ~ Touhou Hakanai Cards,0.0,['星愿制作组'],['Casual',0 - 20000,1316,33,2020,1,0.8671209540034072
14929,Dream Engines: Nomad Cities,29.99,"['Suncrash', 'Gamera Games']",['Indie',0 - 20000,93,17,2021,1,0.7602179836512262
14935,Forged Battalion,3.99,['Team17 Digital Ltd'],['Indie',100000 - 200000,119,4,2018,1,0.5902439024390244
14947,Battlestar Galactica Deadlock,39.99,['Slitherine Ltd.'],['Strategy'],100000 - 200000,879,107,2017,1,0.8570201803349077
14952,Sizeable,9.99,['Business Goose Studios'],['Casual',20000 - 50000,45,4,2021,2,0.9867256637168141
14961,Tooth and Tail,19.99,['Pocketwatch Games'],['Action',200000 - 500000,150,18,2017,3,0.799414737962224
14970,Abyss: The Wraiths of Eden,9.99,['Artifex Mundi'],['Adventure',100000 - 200000,344,2,2014,3,0.906441717791411
14973,Magnetic: Cage Closed,14.99,['Good Shepherd Entertainment'],['Action',50000 - 100000,229,1,2015,1,0.6815286624203821
14987,HeXen: Deathkings of the Dark Citadel,4.99,['id Software'],['Action'],50000 - 100000,10,1,2007,1,0.7801418439716312
14990,Dandy: Or a Brief Glimpse Into the Life of the Candy Alchemist,9.99,"['wefiends, Inc.']",['Action',0 - 20000,255,0,2015,2,0.7551020408163265
14991,Tomb Raider I,6.99,['Square Enix'],['Action',500000 - 1000000,89,35,2012,1,0.8507231404958677
14995,Grim Tales: The Bride Collector's Edition,9.99,['Big Fish Games'],['Adventure',0 - 20000,299,0,2016,1,0.6666666666666666
15009,Barro Racing,0.99,['SC Jogos'],['Casual',50000 - 100000,287,4,2020,1,0.7989130434782609
15022,Pixel Game Maker MV,16.99,['Gotcha Gotcha Games'],['Action',50000 - 100000,649,37,2019,1,0.7090909090909091
15032,Exo One,16.99,"['Future Friends Games', 'Exbleative']",['Adventure',100000 - 200000,55,9,2021,1,0.9121464226289517
15033,Marine Sharpshooter II: Jungle Warfare,2.99,['Funbox Media Ltd'],['Action'],50000 - 100000,185,0,2014,1,0.31663685152057247
15045,EggK47,0.99,['Lorag Games'],['Action',0 - 20000,22,0,2016,1,0.8435754189944135
15054,Football Manager 2021 Touch,0.0,['SEGA'],['Simulation',50000 - 100000,6580,444,2020,2,0.8828125
15065,OVR Toolkit,11.99,['Curtis English'],['Utilities'],200000 - 500000,20018,1268,2019,1,0.8898172323759791
15070,Goats on a Bridge,4.99,['Komodo'],['Action',50000 - 100000,127,0,2015,1,0.7633136094674556
15082,Heroes of the Three Kingdoms 6,3.99,"['USERJOY Technology Co.,Ltd.']",['RPG',20000 - 50000,28,22,2020,1,0.8666666666666667
15083,FIST OF AWESOME,0.0,['I Fight Bears'],['Action',20000 - 50000,254,0,2014,2,0.6124260355029586
15084,Frozen Cortex,24.99,['Mode 7'],['Indie',20000 - 50000,133,0,2015,3,0.7126865671641791
15102,Super Furball,3.99,['Dustin Gunn'],['Action',0 - 20000,164,0,2015,1,0.8392857142857143
15111,PAYDAY™ The Heist,14.99,['Daybreak Game Company'],['Action'],2000000 - 5000000,266,67,2011,1,0.9327219522391179
15117,Shadow of the Tomb Raider: Definitive Edition,0.0,"['Square Enix', 'Feral Interactive (Mac)', 'Feral interactive (Linux)']",['Action',1000000 - 2000000,754,904,2018,3,0.838018611865064
15118,Call of Duty®: Black Ops III,59.99,"['Activision', 'Aspyr (Mac)']",['Action',2000000 - 5000000,1265,9629,2015,2,0.8034861885580769
15122,The Long Dark,34.99,['Hinterland Studio Inc.'],['Adventure',2000000 - 5000000,340,1774,2017,3,0.914912941384963
15123,GunFleet,0.0,['Areo Gaming'],['Action',20000 - 50000,11,0,2017,1,0.5951219512195122
15124,Monster Truck Championship,39.99,['Nacon'],['Action',0 - 20000,25,2,2020,1,0.6861313868613139
15129,Don't Knock Twice,19.99,['Wales Interactive'],['Action',50000 - 100000,120,4,2017,1,0.7258771929824561
15131,Space Survival,0.99,['Trinity Project'],['Action',20000 - 50000,168,3,2016,1,0.29411764705882354
15132,Foresight,4.99,['Strides Interactive Game Studio'],['Indie',0 - 20000,388,0,2014,1,0.813953488372093
15136,Into the Dark: Ultimate Trash Edition,4.99,['Homegrown Games'],['Action',50000 - 100000,394,0,2014,1,0.4369369369369369
15137,LumbearJack,12.99,['Armor Games Studios'],['Casual',0 - 20000,210,0,2022,1,0.9795918367346939
15146,No Place Like Home,19.99,['Awaken Realms'],['Adventure',50000 - 100000,59,100,2022,1,0.8283294842186297
15155,Bullet Witch,14.99,"['XSEED Games', 'Marvelous USA, Inc.', 'Marvelous']",['Action'],20000 - 50000,50,3,2018,1,0.6858974358974359
15164,Ys SEVEN,24.99,"['XSEED Games', 'Marvelous USA, Inc.']",['Action',20000 - 50000,387,18,2017,1,0.9287974683544303
15174,Idle Heist,0.0,['ChimpLabs'],['Action',50000 - 100000,46,0,2018,3,0.2616822429906542
15180,Elf Enchanter: Arousing Anima,0.99,['Belgerum'],['Adventure',0 - 20000,139,2,2019,3,
15181,Conan Unconquered,7.99,['Funcom'],['Strategy'],100000 - 200000,105,13,2019,1,0.6905940594059405
15187,Booty Calls,0.0,['Nutaku Publishing'],['Casual',100000 - 200000,196,136,2018,2,0.4644808743169399
15189,FINAL FANTASY IV: THE AFTER YEARS,15.99,['Square Enix'],['RPG'],50000 - 100000,73,20,2015,1,0.6278026905829597
15191,Age of Gladiators II: Death League,12.99,['Creative Storm Entertainment'],['Indie',0 - 20000,281,0,2017,1,0.6705882352941176
15192,The Last Door: Season 2 - Collector's Edition,9.99,['Phoenix Online Publishing'],['Adventure'],50000 - 100000,297,3,2016,3,0.9421265141318977
15194,Bloodstained: Curse of the Moon 2,14.99,"['INTI CREATES CO., LTD.']",['Action'],50000 - 100000,578,12,2020,1,0.8859813084112149
15196,Missing Translation,0.0,['GamesBoosters'],['Adventure',200000 - 500000,28,1,2015,2,0.8775510204081632
15198,War Birds: WW2 Air strike 1942,3.99,['OtakuMaker.com'],['Action',0 - 20000,527,0,2016,3,0.5573770491803278
15201,Gun Wings,3.99,['DigitalEZ'],['Action',20000 - 50000,12,1,2015,1,0.8301158301158301
15202,RC-AirSim - RC Model Airplane Flight Simulator,6.99,['Fabricated Reality Software'],['Indie',0 - 20000,1471,0,2017,1,0.7575757575757576
15206,Negligee,14.99,['Dharker Studios Ltd'],['Adventure',100000 - 200000,163,5,2016,1,0.8
15209,Bullet Candy,3.99,[''],['Casual',50000 - 100000,16,1,2007,1,0.525
15214,Hot Spring Hero,18.99,['OTAKU Plan'],['Adventure',0 - 20000,1390,15,2022,1,0.9108910891089109
15215,The Divergent Series: Allegiant VR,0.0,['Summit Entertainment LLC'],['Adventure',50000 - 100000,4,0,2016,1,0.6538461538461539
15222,Eternal Edge +,7.49,"['Sedoc LLC', 'GrabTheGames']",['Action',0 - 20000,2,10,2022,1,0.7491525423728813
15225,FIVE NIGHTS AT FREDDY'S: HELP WANTED,29.99,['ScottGames'],['Action',500000 - 1000000,240,45,2019,1,0.9679411066255046
15226,They Bleed Pixels,9.99,['Spooky Squid Games Inc.'],['Action',100000 - 200000,219,3,2012,3,0.8371904181892001
15231,Desktop Magic Engine,3.99,['DesktopMMD Team'],['Casual',100000 - 200000,640,35,2020,1,0.7365038560411311
15232,Break the Game,9.99,['Simon Fredholm'],['Adventure',100000 - 200000,241,2,2019,1,0.7558922558922558
15233,Full Bore,14.99,['Nkidu Games Inc.'],['Adventure',20000 - 50000,282,0,2014,2,0.84375
15235,Avernum 4,4.99,['Spiderweb Software'],['RPG',50000 - 100000,2,3,2012,1,0.8461538461538461
15236,STAR WARS™ - X-Wing Special Edition,9.99,"['LucasArts', 'Lucasfim', 'Disney']",['Action',100000 - 200000,12,3,2015,2,0.7603550295857988
15242,Psebay,9.99,['Eugeny Butakov'],['Adventure',20000 - 50000,288,0,2017,2,0.9009009009009009
15244,HotFloor,0.99,['SA Industry'],['Action'],0 - 20000,2,0,2018,1,0.7027027027027027
15245,Radio General,19.99,['Foolish Mortals Games'],['Indie',20000 - 50000,110,0,2020,2,0.8586118251928021
15246,THE KING OF FIGHTERS XIV STEAM EDITION,59.99,['SNK CORPORATION'],['Action'],100000 - 200000,423,32,2017,1,0.8272179627601315
15248,Galactic Mining Corp,12.99,"['Windybeard', 'Creature Cauldron']",['Action',100000 - 200000,1681,19,2021,1,0.8744827586206897
15265,LOOM™,5.99,"['LucasArts', 'Lucasfilm', 'Disney']",['Adventure'],100000 - 200000,108,7,2009,2,0.8807157057654076
15271,Eternal Hour: Golden Hour,0.0,['Sekai Project'],['Adventure',100000 - 200000,62,0,2017,3,0.902948402948403
15280,A Dump in the Dark,0.49,['Oubliette'],['Action',100000 - 200000,312,4,2018,1,0.6973684210526315
15282,Prince of Persia: The Two Thrones™,9.99,['Ubisoft'],['Action',200000 - 500000,152,12,2008,1,0.7878103837471784
15286,Bastide,9.99,['MedievalNexus'],['Action',0 - 20000,242,4,2020,1,0.7624521072796935
15287,Melvor Idle,9.99,['Jagex Ltd'],['Adventure',500000 - 1000000,5141,4239,2021,3,0.9342126689464256
15288,EarthX,14.99,['Mesote Games'],['Indie',20000 - 50000,167,9,2019,3,0.9057971014492754
15292,Micro Machines World Series,9.99,"['Codemasters', 'Electronic Arts']",['Racing'],50000 - 100000,7013,3,2017,1,0.2965779467680608
15293,SimpleRockets 2,14.99,"['Jundroo, LLC']",['Indie',100000 - 200000,88,35,2018,2,0.9221260815822002
15299,Disneyland Adventures,19.99,['Xbox Game Studios'],['Adventure'],50000 - 100000,157,19,2018,1,0.9051918735891648
15303,Cue Club 2: Pool & Snooker,18.99,['Bulldog Interactive'],['Action',50000 - 100000,424,25,2016,1,0.8816964285714286
15305,Pandemic Express - Zombie Escape,0.0,['tinyBuild'],['Action',100000 - 200000,69,3,2019,1,0.5898203592814372
15309,Shady Lewd Kart,19.99,['Shady Corner Games'],['Adventure',0 - 20000,1060,1,2020,1,
15312,Tap Tap Infinity,0.0,['Scary Bee LLC'],['Action',200000 - 500000,134,15,2015,2,0.7469613259668508
15314,Willowbrooke Post,0.0,['Crunchy Sushi'],['Indie',0 - 20000,36,0,2019,1,0.28346456692913385
15318,江湖余生：缘起,8.39,['INDIECN'],['Adventure',20000 - 50000,64438,7,2021,1,0.777972027972028
15321,BlazeRush,9.99,['Targem Games'],['Action',100000 - 200000,346,8,2014,3,0.8790731354091238
15322,Solitairica,9.99,['Righteous Hammer Games'],['Indie',50000 - 100000,412,6,2016,2,0.7958115183246073
15327,The Unfinished Swan,14.99,['Annapurna Interactive'],['Adventure',50000 - 100000,134,4,2020,1,0.8557377049180328
15329,Stranded,0.49,['Curve Games'],['Adventure',50000 - 100000,281,1,2014,3,0.3463203463203463
15332,7 Days to End with You,4.99,['Lizardry'],['Adventure',50000 - 100000,185,18,2022,1,0.9376053962900506
15346,Moncage,14.99,['XD'],['Adventure',100000 - 200000,196,25,2021,1,0.9505418171714365
15353,Ancient Space,19.99,['Paradox Interactive'],['Strategy'],100000 - 200000,195,1,2014,2,0.44807121661721067
15357,Sniper Ghost Warrior 3,19.99,['CI Games'],['Action'],1000000 - 2000000,359,350,2017,1,0.6534046943513026
15367,THE CORRIDOR,1.99,['Thomas Mackinnon'],['Adventure',100000 - 200000,49,1,2020,1,0.950937950937951
15382,Theatre of War 2: Kursk 1943,4.99,['Fulqrum Publishing'],['Simulation',50000 - 100000,33,3,2010,1,0.6875
15383,"Warhammer 40,000: Dawn of War II: Retribution",29.99,"['SEGA', 'Feral Interactive (Mac/Linux)']",['Strategy'],2000000 - 5000000,555,430,2011,3,0.9073569482288828
15386,Olympic Games Tokyo 2020 – The Official Video Game™,39.99,['SEGA'],['Casual',500000 - 1000000,347,5,2021,1,0.454906634882797
15387,Cthulhu Saves the World,2.99,['Zeboyd Games'],['Indie',500000 - 1000000,166,5,2011,1,0.9213551119177253
15388,FINAL FANTASY V,17.99,['Square Enix'],['RPG'],50000 - 100000,374,204,2021,1,0.8636363636363636
15390,Super Bunny Man,15.99,['Catobyte Ltd'],['Action',200000 - 500000,188,203,2017,3,0.8722519310754605
15391,NiGHTS Into Dreams,7.99,['SEGA'],['Adventure'],200000 - 500000,44,2,2012,1,0.8527988942639945
15393,Koi Farm,2.99,['Job Talle'],['Casual',20000 - 50000,607,6,2021,2,0.9605026929982047
15397,Renegade Ops,15.0,['SEGA'],['Action'],500000 - 1000000,121,4,2011,1,0.8522187004754358
15398,Struggling,14.99,['Frontier Foundry'],['Action',20000 - 50000,563,9,2020,1,0.8603773584905661
15409,Candle,0.99,['Daedalic Entertainment'],['Adventure',100000 - 200000,231,4,2016,3,0.7879440258342304
15419,Bloons TD Battles,0.0,['Ninja Kiwi'],['Action',1000000 - 2000000,123,555,2016,2,0.903145534429799
15429,Champions of Regnum,0.0,['Nimble Giant Entertainment'],['Free to Play',200000 - 500000,342,44,2013,3,0.668219944082013
15432,Hentai Girl Karen,0.99,['GirlGames'],['Casual',20000 - 50000,67,6,2019,2,0.9648798521256932
15438,Angels of Death,9.99,"['Vaka Game Magazine', 'PLAYISM']",['Adventure',50000 - 100000,483,10,2016,1,0.9386262731783755
15442,Viscerafest,14.99,['Fulqrum Publishing'],['Action',100000 - 200000,55,3,2021,2,0.918854415274463
15445,Fortified,14.99,['Siege Camp'],['Action',500000 - 1000000,302,0,2016,1,0.7571168988491823
15447,Go-Kart Racing,0.99,['FlagmanJermey'],['Indie',0 - 20000,38,0,2018,1,0.5503875968992248
15456,Monster Crown,19.99,['SOEDESCO'],['Action',20000 - 50000,212,1,2021,3,0.8098859315589354
15458,Piggy Princess,3.99,['DreamsSoftGames'],['Action',20000 - 50000,276,0,2016,1,0.5416666666666666
15461,月之暗面 The Dark Side Of The Moon,0.0,['一杯烟雨游戏工作室'],['Casual',20000 - 50000,1,0,2017,1,0.5714285714285714
15466,Bridge Project,19.99,['THQ Nordic'],['Simulation'],100000 - 200000,353,1,2013,2,0.47510094212651416
15468,Battle Ranch: Pigs vs Plants,1.99,['Senpai Studios'],['Casual',100000 - 200000,257,2,2015,3,0.4963954685890834
15472,Vroomist,6.99,['Syrena Interactive'],['Indie',0 - 20000,8,0,2016,1,0.2
15473,Spy Fox In: Hold the Mustard,4.99,"['Humongous Entertainment', 'Nightdive Studios']",['Adventure',20000 - 50000,22,1,2014,3,0.41935483870967744
15478,imos VR LOFT,0.0,['imos AG'],['Animation & Modeling',0 - 20000,12,0,2017,1,0.26666666666666666
15481,Expeditions: Rome,44.99,['THQ Nordic'],['RPG',200000 - 500000,1084,467,2022,1,0.8881967213114754
15485,The Last Spell,19.99,"['The Arcade Crew', 'Gamera Games', 'Dangen Entertainment']",['Action',200000 - 500000,5345,491,2021,1,0.917098445595855
15487,The Repopulation,19.99,['Idea Fabrik'],['Indie',50000 - 100000,167,0,2014,1,0.5551569506726457
15490,Kirchhoff's Revenge,0.0,['Michigan State University'],['Casual',20000 - 50000,15,0,2019,2,0.7727272727272727
15491,Cubetractor,4.99,['Ludochip'],['Action',200000 - 500000,11,0,2013,2,0.7532188841201717
15493,Heavy Metal Machines,0.0,['Hoplon'],['Action',1000000 - 2000000,35,8,2018,1,0.7482749808331204
15497,Demigod,9.99,['Stardock Entertainment'],['Action',50000 - 100000,85,7,2011,1,0.7527985074626866
15506,The Eden of Grisaia,29.99,['Frontwing USA'],['Action',0 - 20000,1204,3,2017,1,0.9629629629629629
15507,Idling to Rule the Gods,0.0,['Shugasu GmbH'],['Casual',200000 - 500000,1711,1080,2016,3,0.8747081712062257
15509,Rainbow Snake,1.99,['RandomSpin'],['Casual'],50000 - 100000,1,0,2017,1,0.7542857142857143
15524,Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,['Ubisoft'],['Simulation'],50000 - 100000,452,15,2008,1,0.7941176470588235
15529,Chupa Chupa VR,10.99,['kan.kikuchi'],['Action',0 - 20000,166,1,2020,1,0.8977272727272727
15530,One Wish,4.99,['GDNomaD'],['Adventure',100000 - 200000,403,10,2018,1,0.6029411764705882
15533,Dungeon Of Zaar - Open Beta,0.0,['Plug In Digital'],['Free to Play',50000 - 100000,7,0,2018,1,0.6875
15536,One Finger Death Punch 2,7.99,['Silver Dollar Games'],['Action',100000 - 200000,341,16,2019,1,0.9667519181585678
15539,Roundabout,9.99,['No Goblin'],['Action',20000 - 50000,195,0,2014,3,0.9309701492537313
15542,Zombie Solitaire,8.99,['rokaplay'],['Casual'],20000 - 50000,20,1,2014,1,0.7172413793103448
15549,Sound Shift,0.0,['Matthew Brown'],['Action',20000 - 50000,38,1,2015,1,0.8285714285714286
15554,Warhammer Age of Sigmar: Storm Ground,19.99,['Focus Entertainment'],['Strategy'],20000 - 50000,606,8,2021,1,0.6292134831460674
15574,Canvas The Gallery,0.0,['CoughE'],['Casual',50000 - 100000,12,0,2017,1,0.9180887372013652
15578,Avernum 3: Ruined World,19.99,['Spiderweb Software'],['Adventure',50000 - 100000,335,10,2018,2,0.8286852589641435
15582,Crimson Sword Saga: The Peloran Wars,0.0,['OtakuMaker'],['Free to Play',20000 - 50000,208,0,2017,1,0.631578947368421
